Branch,City,Customer Type,Gender,Product,Unit Price,Quantity,Tax 5%,Date,Time,Payment,cogs,gross margin percentage,gross income,Rating
C,Naypyitaw,Member,Female,Home and lifestyle,28.53,10,14.265,3/18/2019,17:38,Ewallet,285.3,4.761904762,14.265,7.8
B,Mandalay,Normal,Female,Fashion accessories,30.37,3,4.5555,3/28/2019,13:41,Ewallet,91.11,4.761904762,4.5555,5.1
B,Mandalay,Normal,Female,Electronic accessories,99.73,9,44.8785,3/2/2019,19:42,Credit card,897.57,4.761904762,44.8785,6.5
A,Yangon,Normal,Male,Electronic accessories,26.23,9,11.8035,1/25/2019,20:24,Ewallet,236.07,4.761904762,11.8035,5.9
C,Naypyitaw,Normal,Female,Food and beverages,93.26,9,41.967,1/16/2019,18:08,Cash,839.34,4.761904762,41.967,8.8
B,Mandalay,Normal,Male,Home and lifestyle,92.36,5,23.09,3/20/2019,19:17,Ewallet,461.8,4.761904762,23.09,4.9
B,Mandalay,Normal,Male,Sports and travel,46.42,3,6.963,1/4/2019,13:24,Credit card,139.26,4.761904762,6.963,4.4
B,Mandalay,Member,Female,Sports and travel,29.61,7,10.3635,3/11/2019,15:53,Cash,207.27,4.761904762,10.3635,6.5
A,Yangon,Normal,Male,Home and lifestyle,18.28,1,0.914,3/22/2019,15:05,Credit card,18.28,4.761904762,0.914,8.3
B,Mandalay,Normal,Female,Sports and travel,24.77,5,6.1925,3/24/2019,18:27,Cash,123.85,4.761904762,6.1925,8.5
A,Yangon,Member,Female,Electronic accessories,94.64,3,14.196,2/21/2019,16:55,Cash,283.92,4.761904762,14.196,5.5
B,Mandalay,Normal,Male,Fashion accessories,94.87,8,37.948,2/12/2019,12:58,Ewallet,758.96,4.761904762,37.948,8.7
B,Mandalay,Normal,Female,Food and beverages,57.34,3,8.601,3/10/2019,18:59,Credit card,172.02,4.761904762,8.601,7.9
B,Mandalay,Normal,Male,Electronic accessories,45.35,6,13.605,1/31/2019,13:44,Ewallet,272.1,4.761904762,13.605,6.1
B,Mandalay,Normal,Male,Food and beverages,62.08,7,21.728,3/6/2019,13:46,Ewallet,434.56,4.761904762,21.728,5.4
C,Naypyitaw,Normal,Male,Electronic accessories,11.81,5,2.9525,2/17/2019,18:06,Cash,59.05,4.761904762,2.9525,9.4
C,Naypyitaw,Member,Female,Fashion accessories,12.54,1,0.627,2/21/2019,12:38,Cash,12.54,4.761904762,0.627,8.2
A,Yangon,Normal,Male,Food and beverages,43.25,2,4.325,3/20/2019,15:56,Cash,86.5,4.761904762,4.325,6.2
C,Naypyitaw,Member,Female,Sports and travel,87.16,2,8.716,1/11/2019,14:29,Credit card,174.32,4.761904762,8.716,9.7
B,Mandalay,Member,Male,Health and beauty,69.37,9,31.2165,1/26/2019,19:14,Ewallet,624.33,4.761904762,31.2165,4
C,Naypyitaw,Member,Male,Electronic accessories,37.06,4,7.412,1/31/2019,16:24,Ewallet,148.24,4.761904762,7.412,9.7
B,Mandalay,Member,Female,Electronic accessories,90.7,6,27.21,2/26/2019,10:52,Cash,544.2,4.761904762,27.21,5.3
A,Yangon,Normal,Female,Home and lifestyle,63.42,8,25.368,3/11/2019,12:55,Ewallet,507.36,4.761904762,25.368,7.4
B,Mandalay,Normal,Female,Fashion accessories,81.37,2,8.137,1/26/2019,19:28,Cash,162.74,4.761904762,8.137,6.5
B,Mandalay,Member,Female,Electronic accessories,10.59,3,1.5885,3/12/2019,13:52,Credit card,31.77,4.761904762,1.5885,8.7
B,Mandalay,Normal,Female,Health and beauty,84.09,9,37.8405,2/11/2019,10:54,Cash,756.81,4.761904762,37.8405,8
B,Mandalay,Member,Male,Fashion accessories,73.82,4,14.764,2/21/2019,18:31,Cash,295.28,4.761904762,14.764,6.7
A,Yangon,Member,Male,Health and beauty,51.94,10,25.97,3/9/2019,18:24,Ewallet,519.4,4.761904762,25.97,6.5
A,Yangon,Normal,Female,Sports and travel,93.14,2,9.314,1/20/2019,18:09,Ewallet,186.28,4.761904762,9.314,4.1
C,Naypyitaw,Normal,Male,Health and beauty,17.41,5,4.3525,1/28/2019,15:16,Credit card,87.05,4.761904762,4.3525,4.9
C,Naypyitaw,Member,Female,Fashion accessories,44.22,5,11.055,3/5/2019,17:07,Credit card,221.1,4.761904762,11.055,8.6
B,Mandalay,Member,Female,Electronic accessories,13.22,5,3.305,3/2/2019,19:26,Cash,66.1,4.761904762,3.305,4.3
A,Yangon,Normal,Male,Fashion accessories,89.69,1,4.4845,1/11/2019,11:20,Ewallet,89.69,4.761904762,4.4845,4.9
A,Yangon,Normal,Male,Food and beverages,24.94,9,11.223,1/11/2019,16:49,Credit card,224.46,4.761904762,11.223,5.6
A,Yangon,Normal,Male,Health and beauty,59.77,2,5.977,3/11/2019,12:01,Credit card,119.54,4.761904762,5.977,5.8
C,Naypyitaw,Member,Male,Fashion accessories,93.2,2,9.32,2/28/2019,18:37,Credit card,186.4,4.761904762,9.32,6
A,Yangon,Member,Male,Home and lifestyle,62.65,4,12.53,1/5/2019,11:25,Cash,250.6,4.761904762,12.53,4.2
B,Mandalay,Normal,Male,Home and lifestyle,93.87,8,37.548,2/2/2019,18:42,Credit card,750.96,4.761904762,37.548,8.3
A,Yangon,Member,Male,Home and lifestyle,47.59,8,19.036,1/1/2019,14:47,Cash,380.72,4.761904762,19.036,5.7
B,Mandalay,Member,Female,Electronic accessories,81.4,3,12.21,2/9/2019,19:43,Cash,244.2,4.761904762,12.21,4.8
A,Yangon,Member,Male,Fashion accessories,17.94,5,4.485,1/23/2019,14:04,Ewallet,89.7,4.761904762,4.485,6.8
A,Yangon,Member,Male,Electronic accessories,77.72,4,15.544,1/7/2019,16:11,Credit card,310.88,4.761904762,15.544,8.8
B,Mandalay,Normal,Male,Food and beverages,73.06,7,25.571,1/14/2019,19:06,Credit card,511.42,4.761904762,25.571,4.2
B,Mandalay,Member,Male,Food and beverages,46.55,9,20.9475,2/2/2019,15:34,Ewallet,418.95,4.761904762,20.9475,6.4
C,Naypyitaw,Member,Male,Fashion accessories,35.19,10,17.595,3/17/2019,19:06,Credit card,351.9,4.761904762,17.595,8.4
C,Naypyitaw,Normal,Female,Sports and travel,14.39,2,1.439,3/2/2019,19:44,Credit card,28.78,4.761904762,1.439,7.2
A,Yangon,Normal,Male,Home and lifestyle,23.75,4,4.75,3/16/2019,11:22,Cash,95,4.761904762,4.75,5.2
A,Yangon,Member,Male,Home and lifestyle,58.9,8,23.56,1/6/2019,11:23,Cash,471.2,4.761904762,23.56,8.9
B,Mandalay,Member,Male,Fashion accessories,32.62,4,6.524,1/29/2019,14:12,Cash,130.48,4.761904762,6.524,9
A,Yangon,Member,Male,Electronic accessories,66.35,1,3.3175,1/31/2019,10:46,Credit card,66.35,4.761904762,3.3175,9.7
A,Yangon,Member,Male,Home and lifestyle,25.91,6,7.773,2/5/2019,10:16,Ewallet,155.46,4.761904762,7.773,8.7
A,Yangon,Member,Male,Electronic accessories,32.25,4,6.45,2/13/2019,12:38,Ewallet,129,4.761904762,6.45,6.5
C,Naypyitaw,Member,Male,Electronic accessories,65.94,4,13.188,2/7/2019,13:05,Credit card,263.76,4.761904762,13.188,6.9
A,Yangon,Normal,Female,Electronic accessories,75.06,9,33.777,3/19/2019,13:25,Ewallet,675.54,4.761904762,33.777,6.2
C,Naypyitaw,Normal,Female,Fashion accessories,16.45,4,3.29,3/7/2019,14:53,Ewallet,65.8,4.761904762,3.29,5.6
B,Mandalay,Member,Female,Fashion accessories,38.3,4,7.66,3/13/2019,19:22,Cash,153.2,4.761904762,7.66,5.7
A,Yangon,Member,Female,Sports and travel,22.24,10,11.12,2/9/2019,11:00,Cash,222.4,4.761904762,11.12,4.2
B,Mandalay,Normal,Male,Sports and travel,54.45,1,2.7225,2/26/2019,19:24,Ewallet,54.45,4.761904762,2.7225,7.9
A,Yangon,Member,Female,Sports and travel,98.4,7,34.44,3/12/2019,12:43,Credit card,688.8,4.761904762,34.44,8.7
C,Naypyitaw,Normal,Male,Home and lifestyle,35.47,4,7.094,3/14/2019,17:22,Credit card,141.88,4.761904762,7.094,6.9
B,Mandalay,Member,Female,Food and beverages,74.6,10,37.3,1/8/2019,20:55,Cash,746,4.761904762,37.3,9.5
A,Yangon,Member,Male,Home and lifestyle,70.74,4,14.148,1/5/2019,16:05,Credit card,282.96,4.761904762,14.148,4.4
A,Yangon,Member,Female,Home and lifestyle,35.54,10,17.77,1/4/2019,13:34,Ewallet,355.4,4.761904762,17.77,7
B,Mandalay,Normal,Female,Sports and travel,67.43,5,16.8575,3/6/2019,18:13,Ewallet,337.15,4.761904762,16.8575,6.3
C,Naypyitaw,Member,Female,Health and beauty,21.12,2,2.112,1/3/2019,19:17,Cash,42.24,4.761904762,2.112,9.7
A,Yangon,Member,Female,Home and lifestyle,21.54,9,9.693,1/7/2019,11:44,Credit card,193.86,4.761904762,9.693,8.8
A,Yangon,Normal,Female,Home and lifestyle,12.03,2,1.203,1/27/2019,15:51,Cash,24.06,4.761904762,1.203,5.1
B,Mandalay,Normal,Female,Health and beauty,99.71,6,29.913,2/26/2019,16:52,Ewallet,598.26,4.761904762,29.913,7.9
B,Mandalay,Normal,Male,Fashion accessories,47.97,7,16.7895,1/7/2019,20:52,Cash,335.79,4.761904762,16.7895,6.2
C,Naypyitaw,Member,Female,Home and lifestyle,21.82,10,10.91,1/7/2019,17:36,Cash,218.2,4.761904762,10.91,7.1
C,Naypyitaw,Normal,Female,Fashion accessories,95.42,4,19.084,2/2/2019,13:23,Ewallet,381.68,4.761904762,19.084,6.4
C,Naypyitaw,Member,Male,Fashion accessories,70.99,10,35.495,3/20/2019,16:28,Cash,709.9,4.761904762,35.495,5.7
A,Yangon,Member,Male,Sports and travel,44.02,10,22.01,3/20/2019,19:57,Credit card,440.2,4.761904762,22.01,9.6
A,Yangon,Normal,Female,Home and lifestyle,69.96,8,27.984,2/15/2019,17:01,Credit card,559.68,4.761904762,27.984,6.4
C,Naypyitaw,Normal,Male,Home and lifestyle,37,1,1.85,3/6/2019,13:29,Credit card,37,4.761904762,1.85,7.9
A,Yangon,Normal,Female,Sports and travel,15.34,1,0.767,1/6/2019,11:09,Cash,15.34,4.761904762,0.767,6.5
A,Yangon,Member,Male,Health and beauty,99.83,6,29.949,3/4/2019,15:02,Ewallet,598.98,4.761904762,29.949,8.5
A,Yangon,Member,Female,Health and beauty,47.67,4,9.534,3/12/2019,14:21,Cash,190.68,4.761904762,9.534,9.1
B,Mandalay,Normal,Male,Health and beauty,66.68,5,16.67,2/20/2019,18:01,Cash,333.4,4.761904762,16.67,7.6
C,Naypyitaw,Member,Male,Home and lifestyle,74.86,1,3.743,3/24/2019,14:49,Cash,74.86,4.761904762,3.743,6.9
C,Naypyitaw,Normal,Female,Sports and travel,23.75,9,10.6875,1/31/2019,12:02,Cash,213.75,4.761904762,10.6875,9.5
B,Mandalay,Normal,Female,Food and beverages,48.51,7,16.9785,1/25/2019,13:30,Credit card,339.57,4.761904762,16.9785,5.2
A,Yangon,Member,Female,Home and lifestyle,94.88,7,33.208,2/3/2019,14:38,Cash,664.16,4.761904762,33.208,4.2
B,Mandalay,Member,Male,Electronic accessories,40.3,10,20.15,1/24/2019,17:37,Credit card,403,4.761904762,20.15,7
C,Naypyitaw,Normal,Male,Electronic accessories,27.85,7,9.7475,3/14/2019,17:20,Ewallet,194.95,4.761904762,9.7475,6
A,Yangon,Member,Female,Electronic accessories,62.48,1,3.124,2/18/2019,20:29,Cash,62.48,4.761904762,3.124,4.7
A,Yangon,Member,Female,Food and beverages,36.36,2,3.636,1/21/2019,10:00,Cash,72.72,4.761904762,3.636,7.1
B,Mandalay,Normal,Male,Health and beauty,18.11,10,9.055,3/13/2019,11:46,Ewallet,181.1,4.761904762,9.055,5.9
C,Naypyitaw,Member,Female,Electronic accessories,51.92,5,12.98,3/3/2019,13:42,Cash,259.6,4.761904762,12.98,7.5
C,Naypyitaw,Normal,Male,Electronic accessories,28.84,4,5.768,3/29/2019,14:44,Cash,115.36,4.761904762,5.768,6.4
A,Yangon,Member,Male,Home and lifestyle,78.38,6,23.514,1/10/2019,14:16,Ewallet,470.28,4.761904762,23.514,5.8
A,Yangon,Member,Male,Home and lifestyle,60.01,4,12.002,1/25/2019,15:54,Cash,240.04,4.761904762,12.002,4.5
C,Naypyitaw,Member,Female,Home and lifestyle,88.61,1,4.4305,1/19/2019,10:21,Cash,88.61,4.761904762,4.4305,7.7
C,Naypyitaw,Normal,Male,Fashion accessories,99.82,2,9.982,1/2/2019,18:09,Credit card,199.64,4.761904762,9.982,6.7
B,Mandalay,Member,Male,Health and beauty,39.01,1,1.9505,3/12/2019,16:46,Credit card,39.01,4.761904762,1.9505,4.7
C,Naypyitaw,Normal,Male,Food and beverages,48.61,1,2.4305,2/25/2019,15:31,Cash,48.61,4.761904762,2.4305,4.4
A,Yangon,Normal,Female,Electronic accessories,51.19,4,10.238,3/18/2019,17:15,Credit card,204.76,4.761904762,10.238,4.7
B,Mandalay,Normal,Female,Electronic accessories,14.96,8,5.984,2/23/2019,12:29,Cash,119.68,4.761904762,5.984,8.6
A,Yangon,Member,Male,Electronic accessories,72.2,7,25.27,3/26/2019,20:14,Ewallet,505.4,4.761904762,25.27,4.3
A,Yangon,Normal,Female,Sports and travel,40.23,7,14.0805,3/30/2019,13:22,Cash,281.61,4.761904762,14.0805,9.6
A,Yangon,Member,Female,Home and lifestyle,88.79,8,35.516,2/17/2019,17:09,Cash,710.32,4.761904762,35.516,4.1
A,Yangon,Member,Female,Electronic accessories,26.48,3,3.972,3/21/2019,10:40,Ewallet,79.44,4.761904762,3.972,4.7
A,Yangon,Normal,Female,Fashion accessories,81.91,2,8.191,3/5/2019,17:43,Cash,163.82,4.761904762,8.191,7.8
B,Mandalay,Member,Male,Sports and travel,79.93,6,23.979,1/31/2019,14:04,Cash,479.58,4.761904762,23.979,5.5
C,Naypyitaw,Member,Male,Fashion accessories,69.33,2,6.933,2/5/2019,19:05,Ewallet,138.66,4.761904762,6.933,9.7
A,Yangon,Member,Female,Food and beverages,14.23,5,3.5575,2/1/2019,10:08,Credit card,71.15,4.761904762,3.5575,4.4
A,Yangon,Member,Female,Health and beauty,15.55,9,6.9975,3/7/2019,13:12,Cash,139.95,4.761904762,6.9975,5
C,Naypyitaw,Member,Female,Electronic accessories,78.13,10,39.065,2/10/2019,20:51,Cash,781.3,4.761904762,39.065,4.4
C,Naypyitaw,Member,Male,Food and beverages,99.37,2,9.937,2/14/2019,17:29,Cash,198.74,4.761904762,9.937,5.2
C,Naypyitaw,Member,Female,Food and beverages,21.08,3,3.162,2/9/2019,10:25,Cash,63.24,4.761904762,3.162,7.3
C,Naypyitaw,Member,Male,Electronic accessories,74.79,5,18.6975,1/10/2019,11:34,Cash,373.95,4.761904762,18.6975,4.9
C,Naypyitaw,Member,Female,Health and beauty,29.67,7,10.3845,3/11/2019,18:58,Credit card,207.69,4.761904762,10.3845,8.1
C,Naypyitaw,Member,Male,Health and beauty,44.07,4,8.814,2/18/2019,16:28,Ewallet,176.28,4.761904762,8.814,8.4
C,Naypyitaw,Normal,Female,Food and beverages,22.93,9,10.3185,2/26/2019,20:26,Cash,206.37,4.761904762,10.3185,5.5
C,Naypyitaw,Normal,Female,Health and beauty,39.42,1,1.971,1/18/2019,15:08,Cash,39.42,4.761904762,1.971,8.4
A,Yangon,Normal,Male,Health and beauty,15.26,6,4.578,2/15/2019,18:03,Ewallet,91.56,4.761904762,4.578,9.8
A,Yangon,Normal,Female,Fashion accessories,61.77,5,15.4425,3/8/2019,13:21,Cash,308.85,4.761904762,15.4425,6.7
A,Yangon,Normal,Male,Home and lifestyle,21.52,6,6.456,1/17/2019,12:48,Credit card,129.12,4.761904762,6.456,9.4
B,Mandalay,Normal,Male,Sports and travel,97.74,4,19.548,3/12/2019,19:53,Ewallet,390.96,4.761904762,19.548,6.4
A,Yangon,Member,Male,Food and beverages,99.78,5,24.945,3/9/2019,19:09,Cash,498.9,4.761904762,24.945,5.4
C,Naypyitaw,Member,Male,Food and beverages,94.26,4,18.852,3/12/2019,16:30,Cash,377.04,4.761904762,18.852,8.6
B,Mandalay,Member,Male,Health and beauty,51.13,4,10.226,1/25/2019,10:11,Credit card,204.52,4.761904762,10.226,4
A,Yangon,Member,Male,Electronic accessories,36.36,4,7.272,3/25/2019,13:07,Cash,145.44,4.761904762,7.272,7.6
B,Mandalay,Normal,Male,Home and lifestyle,22.02,9,9.909,2/7/2019,18:48,Cash,198.18,4.761904762,9.909,6.8
A,Yangon,Normal,Male,Food and beverages,32.9,3,4.935,2/17/2019,17:27,Credit card,98.7,4.761904762,4.935,9.1
A,Yangon,Normal,Male,Fashion accessories,77.02,5,19.255,2/3/2019,15:59,Cash,385.1,4.761904762,19.255,5.5
A,Yangon,Member,Male,Food and beverages,23.48,2,2.348,3/14/2019,11:21,Credit card,46.96,4.761904762,2.348,7.9
C,Naypyitaw,Member,Male,Sports and travel,14.7,5,3.675,3/24/2019,13:48,Ewallet,73.5,4.761904762,3.675,8.5
A,Yangon,Member,Female,Electronic accessories,28.45,5,7.1125,3/21/2019,10:17,Credit card,142.25,4.761904762,7.1125,9.1
A,Yangon,Normal,Male,Fashion accessories,76.4,9,34.38,3/19/2019,15:49,Ewallet,687.6,4.761904762,34.38,7.5
B,Mandalay,Normal,Female,Sports and travel,57.95,6,17.385,2/24/2019,13:02,Cash,347.7,4.761904762,17.385,5.2
C,Naypyitaw,Normal,Female,Electronic accessories,47.65,3,7.1475,3/28/2019,12:58,Credit card,142.95,4.761904762,7.1475,9.5
B,Mandalay,Member,Female,Food and beverages,42.82,9,19.269,2/5/2019,15:26,Credit card,385.38,4.761904762,19.269,8.9
B,Mandalay,Member,Male,Electronic accessories,48.09,3,7.2135,2/10/2019,18:23,Credit card,144.27,4.761904762,7.2135,7.8
B,Mandalay,Member,Female,Health and beauty,55.97,7,19.5895,3/5/2019,19:06,Ewallet,391.79,4.761904762,19.5895,8.9
B,Mandalay,Member,Female,Health and beauty,76.9,7,26.915,2/15/2019,20:21,Cash,538.3,4.761904762,26.915,7.7
C,Naypyitaw,Normal,Female,Food and beverages,97.03,5,24.2575,1/30/2019,16:24,Ewallet,485.15,4.761904762,24.2575,9.3
A,Yangon,Normal,Male,Sports and travel,44.65,3,6.6975,2/14/2019,15:04,Cash,133.95,4.761904762,6.6975,6.2
A,Yangon,Normal,Female,Fashion accessories,77.93,9,35.0685,2/27/2019,16:10,Ewallet,701.37,4.761904762,35.0685,7.6
A,Yangon,Member,Male,Electronic accessories,71.95,1,3.5975,2/4/2019,12:14,Cash,71.95,4.761904762,3.5975,7.3
C,Naypyitaw,Member,Female,Home and lifestyle,89.25,8,35.7,1/20/2019,10:13,Cash,714,4.761904762,35.7,4.7
A,Yangon,Normal,Male,Electronic accessories,26.02,7,9.107,3/28/2019,17:38,Cash,182.14,4.761904762,9.107,5.1
B,Mandalay,Normal,Female,Health and beauty,13.5,10,6.75,2/27/2019,11:06,Credit card,135,4.761904762,6.75,4.8
C,Naypyitaw,Member,Female,Fashion accessories,99.3,10,49.65,2/15/2019,14:53,Credit card,993,4.761904762,49.65,6.6
A,Yangon,Normal,Male,Electronic accessories,51.69,7,18.0915,1/26/2019,18:22,Cash,361.83,4.761904762,18.0915,5.5
B,Mandalay,Member,Female,Fashion accessories,54.73,7,19.1555,3/14/2019,19:02,Credit card,383.11,4.761904762,19.1555,8.5
B,Mandalay,Member,Male,Home and lifestyle,27,9,12.15,3/2/2019,14:16,Cash,243,4.761904762,12.15,4.8
C,Naypyitaw,Normal,Female,Electronic accessories,30.24,1,1.512,3/4/2019,15:44,Cash,30.24,4.761904762,1.512,8.4
B,Mandalay,Member,Female,Food and beverages,89.14,4,17.828,1/7/2019,12:20,Credit card,356.56,4.761904762,17.828,7.8
C,Naypyitaw,Normal,Female,Fashion accessories,37.55,10,18.775,3/8/2019,20:01,Credit card,375.5,4.761904762,18.775,9.3
C,Naypyitaw,Normal,Female,Sports and travel,95.44,10,47.72,1/9/2019,13:45,Cash,954.4,4.761904762,47.72,5.2
B,Mandalay,Normal,Male,Electronic accessories,27.5,3,4.125,3/1/2019,15:40,Ewallet,82.5,4.761904762,4.125,6.5
B,Mandalay,Normal,Male,Sports and travel,74.97,1,3.7485,3/16/2019,16:58,Cash,74.97,4.761904762,3.7485,5.6
A,Yangon,Member,Male,Food and beverages,80.96,8,32.384,2/17/2019,11:12,Credit card,647.68,4.761904762,32.384,7.4
C,Naypyitaw,Normal,Female,Food and beverages,94.47,8,37.788,2/27/2019,15:12,Cash,755.76,4.761904762,37.788,9.1
C,Naypyitaw,Normal,Male,Food and beverages,99.79,2,9.979,3/7/2019,20:37,Ewallet,199.58,4.761904762,9.979,8
A,Yangon,Normal,Male,Home and lifestyle,73.22,6,21.966,1/21/2019,17:44,Cash,439.32,4.761904762,21.966,7.2
C,Naypyitaw,Normal,Female,Food and beverages,41.24,4,8.248,2/19/2019,16:23,Cash,164.96,4.761904762,8.248,7.1
C,Naypyitaw,Normal,Female,Fashion accessories,81.68,4,16.336,1/6/2019,12:12,Cash,326.72,4.761904762,16.336,9.1
C,Naypyitaw,Normal,Female,Electronic accessories,51.32,9,23.094,3/14/2019,19:33,Cash,461.88,4.761904762,23.094,5.6
A,Yangon,Member,Male,Home and lifestyle,65.94,4,13.188,3/24/2019,10:29,Cash,263.76,4.761904762,13.188,6
C,Naypyitaw,Normal,Female,Sports and travel,14.36,10,7.18,1/27/2019,14:28,Cash,143.6,4.761904762,7.18,5.4
A,Yangon,Member,Male,Electronic accessories,21.5,9,9.675,3/6/2019,12:46,Credit card,193.5,4.761904762,9.675,7.8
B,Mandalay,Member,Female,Electronic accessories,26.26,7,9.191,2/2/2019,19:40,Cash,183.82,4.761904762,9.191,9.9
B,Mandalay,Normal,Female,Fashion accessories,60.96,2,6.096,1/25/2019,19:39,Credit card,121.92,4.761904762,6.096,4.9
C,Naypyitaw,Normal,Female,Home and lifestyle,70.11,6,21.033,3/14/2019,17:54,Ewallet,420.66,4.761904762,21.033,5.2
C,Naypyitaw,Normal,Male,Fashion accessories,42.08,6,12.624,1/29/2019,12:25,Cash,252.48,4.761904762,12.624,8.9
A,Yangon,Normal,Female,Home and lifestyle,67.09,5,16.7725,1/3/2019,16:47,Credit card,335.45,4.761904762,16.7725,9.1
A,Yangon,Member,Female,Fashion accessories,96.7,5,24.175,1/14/2019,12:52,Ewallet,483.5,4.761904762,24.175,7
B,Mandalay,Member,Female,Home and lifestyle,35.38,9,15.921,1/5/2019,19:50,Credit card,318.42,4.761904762,15.921,9.6
C,Naypyitaw,Normal,Male,Sports and travel,95.49,7,33.4215,2/22/2019,18:17,Ewallet,668.43,4.761904762,33.4215,8.7
C,Naypyitaw,Member,Male,Fashion accessories,96.98,4,19.396,2/6/2019,17:20,Ewallet,387.92,4.761904762,19.396,9.4
B,Mandalay,Normal,Female,Electronic accessories,23.65,4,4.73,1/30/2019,13:32,Credit card,94.6,4.761904762,4.73,4
A,Yangon,Member,Male,Sports and travel,82.33,4,16.466,1/11/2019,10:37,Credit card,329.32,4.761904762,16.466,7.5
C,Naypyitaw,Normal,Female,Electronic accessories,26.61,2,2.661,3/19/2019,14:35,Cash,53.22,4.761904762,2.661,4.2
B,Mandalay,Normal,Female,Food and beverages,99.69,5,24.9225,1/14/2019,12:09,Cash,498.45,4.761904762,24.9225,9.9
C,Naypyitaw,Member,Female,Food and beverages,74.89,4,14.978,3/1/2019,15:32,Ewallet,299.56,4.761904762,14.978,4.2
A,Yangon,Normal,Female,Food and beverages,40.94,5,10.235,1/6/2019,13:58,Ewallet,204.7,4.761904762,10.235,9.9
B,Mandalay,Member,Male,Sports and travel,75.82,1,3.791,1/31/2019,13:19,Cash,75.82,4.761904762,3.791,5.8
C,Naypyitaw,Normal,Male,Food and beverages,46.77,6,14.031,3/11/2019,13:37,Cash,280.62,4.761904762,14.031,6
A,Yangon,Normal,Female,Health and beauty,32.32,10,16.16,2/20/2019,16:49,Credit card,323.2,4.761904762,16.16,10
C,Naypyitaw,Member,Female,Fashion accessories,54.07,9,24.3315,1/27/2019,14:55,Ewallet,486.63,4.761904762,24.3315,9.5
B,Mandalay,Normal,Male,Food and beverages,18.22,7,6.377,3/10/2019,14:04,Credit card,127.54,4.761904762,6.377,6.6
C,Naypyitaw,Member,Female,Fashion accessories,80.48,3,12.072,2/15/2019,12:31,Cash,241.44,4.761904762,12.072,8.1
B,Mandalay,Normal,Female,Fashion accessories,37.95,10,18.975,1/26/2019,14:51,Cash,379.5,4.761904762,18.975,9.7
A,Yangon,Member,Male,Electronic accessories,76.82,1,3.841,2/13/2019,18:27,Ewallet,76.82,4.761904762,3.841,7.2
A,Yangon,Member,Female,Sports and travel,52.26,10,26.13,3/9/2019,12:45,Credit card,522.6,4.761904762,26.13,6.2
A,Yangon,Normal,Female,Health and beauty,79.74,1,3.987,3/6/2019,10:36,Ewallet,79.74,4.761904762,3.987,7.3
A,Yangon,Normal,Female,Health and beauty,77.5,5,19.375,1/24/2019,20:36,Ewallet,387.5,4.761904762,19.375,4.3
A,Yangon,Normal,Female,Food and beverages,54.27,5,13.5675,3/13/2019,14:16,Ewallet,271.35,4.761904762,13.5675,4.6
B,Mandalay,Normal,Male,Home and lifestyle,13.59,9,6.1155,3/15/2019,10:26,Cash,122.31,4.761904762,6.1155,5.8
B,Mandalay,Member,Female,Health and beauty,41.06,6,12.318,3/5/2019,13:30,Credit card,246.36,4.761904762,12.318,8.3
B,Mandalay,Member,Male,Electronic accessories,19.24,9,8.658,3/4/2019,16:28,Cash,173.16,4.761904762,8.658,8
C,Naypyitaw,Normal,Female,Food and beverages,39.43,6,11.829,3/25/2019,20:18,Credit card,236.58,4.761904762,11.829,9.4
C,Naypyitaw,Normal,Male,Home and lifestyle,46.22,4,9.244,3/12/2019,20:04,Credit card,184.88,4.761904762,9.244,6.2
C,Naypyitaw,Member,Male,Home and lifestyle,13.98,1,0.699,2/4/2019,13:38,Ewallet,13.98,4.761904762,0.699,9.8
B,Mandalay,Normal,Female,Fashion accessories,39.75,5,9.9375,2/22/2019,10:43,Ewallet,198.75,4.761904762,9.9375,9.6
C,Naypyitaw,Member,Female,Fashion accessories,97.79,7,34.2265,2/16/2019,17:30,Ewallet,684.53,4.761904762,34.2265,4.9
A,Yangon,Member,Male,Sports and travel,67.26,4,13.452,1/19/2019,15:28,Credit card,269.04,4.761904762,13.452,8
A,Yangon,Normal,Male,Food and beverages,13.79,5,3.4475,1/11/2019,19:07,Credit card,68.95,4.761904762,3.4475,7.8
B,Mandalay,Member,Female,Fashion accessories,68.71,4,13.742,1/4/2019,19:01,Cash,274.84,4.761904762,13.742,4.1
A,Yangon,Normal,Female,Home and lifestyle,56.53,4,11.306,3/4/2019,19:48,Ewallet,226.12,4.761904762,11.306,5.5
C,Naypyitaw,Normal,Female,Fashion accessories,23.82,5,5.955,1/28/2019,19:24,Ewallet,119.1,4.761904762,5.955,5.4
B,Mandalay,Normal,Female,Health and beauty,34.21,10,17.105,1/2/2019,13:00,Cash,342.1,4.761904762,17.105,5.1
B,Mandalay,Normal,Male,Sports and travel,21.87,2,2.187,1/25/2019,14:29,Ewallet,43.74,4.761904762,2.187,6.9
A,Yangon,Member,Male,Health and beauty,20.97,5,5.2425,1/4/2019,13:21,Cash,104.85,4.761904762,5.2425,7.8
A,Yangon,Normal,Male,Sports and travel,25.84,3,3.876,3/10/2019,18:55,Ewallet,77.52,4.761904762,3.876,6.6
A,Yangon,Normal,Male,Home and lifestyle,50.93,8,20.372,3/22/2019,19:36,Ewallet,407.44,4.761904762,20.372,9.2
B,Mandalay,Normal,Male,Health and beauty,96.11,1,4.8055,1/25/2019,16:28,Ewallet,96.11,4.761904762,4.8055,7.8
